PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI
50.295,108.938,27.998,6.539,1.096,52.568,18.504,70.168,108.0
32.083,63.043,36.12,4.021,1.075,43.536,5.838,80.088,90.0
42.25,82.553,26.935,9.538,0.977,23.32,31.833,62.783,84.0
30.403,79.951,63.536,7.609,0.23,31.369,23.14,89.153,158.0
21.083,66.423,38.997,6.919,1.085,45.615,13.632,76.499,97.0
31.242,92.779,30.633,8.03,0.347,43.725,15.159,42.505,92.0
77.69,65.198,20.302,7.641,0.734,62.687,36.729,47.651,155.0
57.816,111.709,34.533,6.945,0.771,41.304,37.891,53.314,115.0
60.914,44.775,40.936,6.779,1.014,36.751,24.092,48.148,121.0
16.464,76.631,28.119,8.561,1.081,79.467,11.49,29.403,76.0
48.469,72.858,23.356,4.244,0.973,34.794,27.913,34.736,96.0
44.477,37.724,39.812,6.704,0.48,34.0,18.665,29.091,99.0
57.227,28.916,30.698,8.091,0.967,63.108,14.584,46.654,114.0
26.147,58.714,49.826,5.228,0.615,51.651,27.299,76.014,124.0
38.815,121.394,25.969,4.112,1.124,44.73,34.481,81.79,121.0
42.793,91.138,11.6,7.625,0.944,43.074,8.423,62.661,91.0
2.799,69.074,52.218,5.538,0.6,37.461,7.884,74.873,130.0
63.552,57.838,13.754,4.427,0.997,42.251,36.193,62.906,127.0
26.664,54.577,35.136,3.599,1.069,68.139,14.656,83.829,87.0
49.693,83.965,60.763,7.811,0.589,60.188,11.743,58.646,151.0
22.22,102.306,37.332,5.142,0.781,32.491,12.79,65.872,102.0
51.211,97.99,37.295,2.901,0.667,49.461,12.955,50.346,102.0
18.385,27.829,19.647,6.642,0.818,54.364,32.209,25.117,49.0
31.094,59.007,46.212,7.911,0.436,21.905,20.478,87.347,115.0
38.005,25.92,23.383,4.869,0.884,42.954,14.901,30.594,76.0
56.954,75.045,29.837,9.541,1.17,54.198,31.289,43.279,113.0
56.922,86.466,21.25,7.787,1.16,38.624,22.738,35.424,113.0
54.651,41.774,26.963,8.461,1.283,62.397,19.498,29.831,109.0
49.362,87.63,42.622,10.317,0.621,59.281,25.706,34.213,106.0
36.695,121.616,20.502,7.02,1.09,34.875,31.469,73.541,121.0
33.073,101.316,27.264,5.323,0.528,26.093,11.524,72.022,101.0
27.04,129.462,36.214,4.929,0.574,53.409,30.286,66.425,129.0
31.14,38.293,43.933,0.221,0.755,43.526,13.762,34.12,109.0
60.56,63.448,47.08,7.569,0.66,53.451,5.175,81.239,121.0
43.347,60.078,29.8,5.121,0.597,33.756,36.287,34.515,86.0
9.159,40.718,43.378,1.136,0.384,55.258,34.857,55.495,108.0
24.582,54.865,27.669,6.068,0.712,70.059,27.052,61.843,69.0
60.768,80.058,28.523,5.186,0.603,59.795,11.774,68.507,121.0
22.522,111.308,25.565,4.773,0.656,47.249,31.041,40.447,111.0
22.819,44.81,34.01,4.025,0.727,72.56,11.439,47.593,85.0
34.911,61.065,23.065,5.959,0.763,69.458,30.752,28.463,69.0
27.682,57.714,39.407,3.983,0.233,26.519,13.661,50.039,98.0
56.166,70.246,50.209,11.169,0.678,63.496,25.63,48.823,125.0
24.61,36.188,17.424,7.383,0.223,40.406,35.366,26.694,49.0
78.186,114.005,17.993,5.932,0.845,18.151,31.779,49.093,156.0
11.681,53.624,18.018,7.006,0.865,41.113,24.324,86.619,53.0
25.484,96.251,58.445,7.448,0.526,76.351,20.197,50.635,146.0
59.945,114.072,27.078,2.843,0.948,34.088,11.177,77.287,119.0
26.529,66.301,18.262,6.462,0.985,46.331,30.605,53.889,66.0
35.562,76.8,22.621,7.258,0.908,50.045,24.089,29.574,76.0
73.874,44.322,19.12,4.94,1.242,54.381,22.676,26.321,147.0
51.692,77.303,8.327,0.975,1.092,41.808,32.228,55.503,103.0
20.754,80.578,60.375,5.552,0.923,49.239,5.06,65.591,150.0
76.53,35.49,38.587,5.023,0.679,38.581,28.228,50.499,153.0
33.328,55.664,28.292,3.785,1.157,12.588,28.686,75.572,70.0
32.527,53.617,49.013,2.937,0.71,26.616,8.942,56.382,122.0
57.455,52.812,31.647,3.113,1.027,41.12,19.859,66.015,114.0
55.224,79.443,30.411,3.066,0.64,33.943,14.847,33.324,110.0
54.734,98.852,36.63,4.437,0.743,11.521,28.252,86.323,109.0
60.71,53.811,25.817,9.094,0.865,67.278,25.987,49.813,121.0
62.463,24.303,44.652,4.594,0.442,50.699,14.528,79.084,124.0
44.035,103.115,25.952,2.999,0.755,49.267,31.494,89.275,103.0
47.872,68.135,41.918,6.042,0.516,29.832,20.146,86.324,104.0
36.689,86.584,50.438,9.495,0.625,47.109,24.958,55.9,126.0
26.373,111.711,29.563,5.189,0.722,47.966,7.049,56.853,111.0
0.219,69.858,55.764,6.026,0.925,21.694,27.463,25.437,139.0
57.806,33.228,38.732,4.692,0.968,55.561,23.919,65.441,115.0
25.858,76.097,64.099,5.627,0.971,18.401,15.396,41.138,160.0
32.181,77.781,54.809,4.703,0.426,52.167,17.032,41.934,137.0
47.775,94.792,33.106,5.99,0.976,38.555,6.228,44.644,95.0
21.925,80.856,7.108,7.844,1.367,36.763,33.885,83.952,80.0
58.098,79.046,16.895,7.47,0.897,67.202,25.301,77.452,116.0
56.438,99.432,32.217,3.209,0.97,83.793,30.385,63.297,112.0
51.715,51.86,27.925,9.707,0.734,67.282,16.477,75.633,103.0
40.756,83.722,21.832,9.656,0.751,56.654,13.435,47.124,83.0
44.018,93.539,47.436,6.935,1.056,66.298,32.176,45.352,118.0
39.258,62.328,27.687,0.748,0.775,46.105,33.29,55.734,78.0
46.03,114.838,16.453,3.605,0.757,45.076,9.45,72.691,114.0
32.982,71.368,23.907,2.561,1.248,47.406,34.539,51.105,71.0
45.804,65.931,21.763,4.892,0.452,77.353,31.841,38.068,91.0
35.328,62.186,29.957,1.605,0.755,32.421,27.732,60.889,74.0
83.676,83.653,33.346,2.594,0.598,83.375,19.683,37.565,167.0
40.081,98.158,48.832,3.014,0.852,70.108,36.859,86.703,122.0
45.648,147.672,30.754,6.384,1.131,69.368,22.646,29.746,147.0
43.207,103.347,50.629,0.411,0.719,52.673,30.073,67.635,126.0
20.755,90.684,58.253,10.894,0.831,52.728,28.571,39.585,145.0
35.931,43.384,39.932,2.461,0.537,40.926,29.834,54.072,99.0
67.381,103.299,21.983,4.811,0.944,36.504,15.349,37.076,134.0
41.479,83.333,20.479,9.707,1.034,34.635,17.854,43.96,83.0
48.337,55.593,38.155,6.559,0.788,53.796,16.909,71.99,96.0
33.795,22.011,47.34,10.08,1.293,32.915,16.298,50.689,118.0
48.551,92.922,13.502,8.968,0.609,27.779,19.288,89.311,97.0
33.058,46.469,20.389,6.138,1.034,58.852,8.441,47.916,66.0
23.627,61.221,9.9,5.922,0.788,43.022,10.074,41.771,61.0
39.342,65.684,33.262,6.607,1.136,47.61,16.82,58.183,83.0
39.539,61.829,50.921,5.667,0.556,43.709,11.806,35.216,127.0
9.51,93.928,24.667,8.939,1.163,55.921,26.346,47.456,93.0
38.914,87.229,35.253,7.601,1.124,47.298,26.588,68.878,88.0
56.957,57.641,19.533,5.893,0.546,26.89,34.315,26.72,113.0
28.589,46.458,1.252,4.613,1.019,54.452,28.134,27.374,57.0
42.609,74.163,35.768,6.772,0.065,54.691,14.668,35.436,89.0
10.951,47.31,28.794,8.218,1.071,53.643,24.042,42.649,71.0
41.645,70.341,25.235,4.49,0.51,57.579,32.179,87.158,83.0
22.317,112.149,50.515,4.308,0.875,43.567,6.048,65.936,126.0
49.749,68.495,25.153,7.791,0.413,43.398,13.787,42.523,99.0
63.994,67.237,37.392,8.483,0.725,40.692,36.977,86.546,127.0
44.231,38.614,39.244,6.934,0.665,61.958,16.481,58.928,98.0
28.522,21.173,40.643,9.547,0.834,62.634,26.9,59.257,101.0
36.495,61.453,14.649,9.434,1.166,30.181,16.934,60.882,72.0
51.608,70.146,44.882,5.823,0.85,34.214,7.386,56.542,112.0
21.001,63.623,49.72,5.691,0.117,41.521,20.527,67.073,124.0
4.066,75.539,31.135,3.168,1.04,34.776,26.748,35.379,77.0
96.012,102.666,38.339,6.486,1.643,42.027,32.786,32.631,192.0
22.129,121.261,21.566,4.241,0.982,103.016,21.713,52.872,121.0
45.299,117.314,39.293,9.391,1.032,39.892,15.49,30.634,117.0
37.035,108.579,24.765,1.3,0.802,47.434,33.885,75.688,108.0
26.713,72.748,23.417,6.718,1.078,49.514,14.241,61.652,72.0
63.443,58.686,45.08,3.815,0.477,45.784,30.801,65.202,126.0
47.483,33.834,39.133,5.523,0.725,41.229,5.572,45.18,97.0
43.551,91.285,23.117,6.626,0.595,48.696,8.981,63.107,91.0
25.386,96.067,43.729,4.17,0.501,57.17,37.709,64.992,109.0
53.854,104.506,20.02,3.176,1.003,61.281,29.252,31.022,107.0
2.562,111.317,38.457,3.755,1.116,53.065,30.123,45.506,111.0
23.89,91.937,45.792,6.57,0.685,39.43,5.117,63.234,114.0
55.753,90.865,33.195,7.408,0.636,41.24,22.43,30.602,111.0
19.064,61.145,14.431,3.87,0.785,43.535,31.423,89.537,61.0
41.064,50.735,47.072,5.682,0.745,55.515,22.602,55.352,117.0
43.444,87.566,43.315,7.984,0.647,45.743,30.819,40.784,108.0
32.596,72.185,43.875,7.424,0.46,0.114,9.352,66.089,109.0
27.667,52.42,25.698,4.381,0.816,58.981,34.853,75.484,64.0
60.382,94.844,32.768,5.998,0.856,33.929,15.677,61.765,120.0
47.619,84.987,13.564,7.072,0.844,25.379,30.831,78.143,95.0
35.465,74.566,17.18,10.228,0.374,57.986,12.461,69.176,74.0
4.38,48.672,36.032,3.568,0.985,19.958,32.788,80.887,90.0
43.419,96.413,38.334,7.509,1.148,54.024,26.823,29.928,96.0
40.809,52.221,39.952,11.323,0.373,51.376,8.947,82.517,99.0
60.939,59.278,53.906,8.062,1.039,27.677,14.03,76.309,134.0
49.581,74.809,20.158,8.376,1.003,56.004,26.014,80.769,99.0
21.463,82.516,48.089,2.348,0.681,57.475,9.072,61.87,120.0
69.921,54.57,16.212,3.17,0.632,70.288,8.366,59.187,139.0
26.629,76.164,45.637,4.673,0.592,58.924,29.717,54.148,114.0
18.918,100.436,14.764,4.221,0.476,58.472,24.029,37.602,100.0
41.483,21.506,40.423,5.089,0.926,29.241,8.464,80.52,101.0
34.868,50.168,42.922,5.237,0.746,77.798,27.769,39.224,107.0
38.444,99.547,19.974,6.803,1.265,45.664,6.724,35.66,99.0
44.532,64.411,30.959,7.172,1.081,56.25,24.193,80.678,89.0
15.343,59.671,40.878,6.02,0.703,51.304,21.233,70.602,102.0
47.486,103.364,36.857,4.876,0.718,56.89,32.188,51.827,103.0
65.824,96.095,39.441,8.986,0.737,39.719,22.47,62.204,131.0
33.323,56.405,30.298,1.777,0.77,70.928,11.74,31.935,75.0
55.887,53.207,35.772,3.6,0.977,89.492,11.197,53.127,111.0
43.239,71.294,26.916,6.412,0.777,41.449,36.028,63.101,86.0
32.981,90.472,4.891,6.073,0.976,34.687,6.43,40.777,90.0
44.957,70.989,26.44,6.68,0.385,45.438,21.73,33.685,89.0
39.265,101.264,48.607,7.091,0.818,90.709,5.376,74.886,121.0
18.762,100.1,22.786,4.023,0.921,41.588,26.107,48.701,100.0
25.932,53.428,26.946,5.268,0.408,48.066,24.279,82.38,67.0
46.424,31.588,24.787,6.561,0.672,34.423,24.745,48.619,92.0
22.835,124.933,27.212,8.032,0.876,38.089,17.821,49.029,124.0
38.043,72.495,58.111,7.495,0.397,29.245,11.283,83.318,145.0
47.761,56.463,48.466,3.84,1.189,47.771,33.661,35.009,121.0
49.317,84.095,29.538,5.429,0.644,45.069,30.36,72.204,98.0
22.21,105.002,28.526,6.587,1.078,48.504,10.329,45.745,105.0
75.651,93.09,29.7,9.566,0.546,58.403,29.64,50.877,151.0
33.331,79.701,22.409,6.541,1.393,39.094,10.119,25.297,79.0
38.366,63.795,20.173,4.443,0.625,67.742,34.021,39.811,76.0
51.058,82.044,32.185,11.307,1.063,37.255,17.592,41.192,102.0
29.101,22.949,51.362,7.183,0.602,51.727,12.824,66.167,128.0
42.701,71.624,33.025,6.279,0.542,29.989,5.229,88.293,85.0
43.144,87.749,35.238,7.518,1.224,52.505,25.624,44.308,88.0
57.414,97.5,51.659,2.742,1.24,52.998,24.451,30.025,129.0
34.182,66.361,27.819,1.228,0.945,38.187,11.909,64.245,69.0
37.624,68.843,27.694,6.546,0.878,51.989,14.939,70.749,75.0
44.062,78.464,17.317,8.512,0.825,33.979,26.699,43.706,88.0
32.068,31.466,58.377,2.95,0.793,42.942,11.303,63.487,145.0
40.269,48.789,5.748,5.035,0.654,52.005,10.603,48.53,80.0
26.902,103.526,47.098,4.598,0.45,61.786,32.68,45.042,117.0
52.567,68.041,11.788,5.985,0.753,41.735,24.303,73.134,105.0
11.377,103.254,20.108,5.946,1.113,37.026,28.428,50.674,103.0
29.273,83.164,21.265,5.818,0.354,50.029,28.941,53.91,83.0
26.072,34.653,15.32,5.256,1.106,38.097,20.28,86.385,52.0
25.908,57.131,21.27,6.154,0.664,53.247,29.851,81.078,57.0
66.706,36.434,14.805,11.517,0.664,58.37,37.694,51.221,133.0
21.629,74.393,33.177,2.229,1.035,60.676,16.451,39.317,82.0
62.987,28.095,51.113,5.096,0.955,57.86,8.73,61.083,127.0
38.359,108.695,21.277,0.985,0.741,51.463,11.664,37.035,108.0
18.1,51.992,51.073,8.75,0.89,37.241,23.631,79.799,127.0
40.57,33.496,44.47,7.009,0.746,41.675,20.967,49.493,111.0
30.543,86.945,35.287,8.625,0.803,45.845,13.877,39.579,88.0
84.02,82.172,27.977,2.662,0.534,26.646,21.036,60.274,168.0
56.447,38.288,17.09,2.604,1.243,47.67,22.127,68.683,112.0
34.787,70.496,48.552,2.123,1.215,66.973,18.696,37.451,121.0
62.297,82.269,28.503,9.136,0.441,64.015,36.606,31.569,124.0
17.688,112.586,18.257,5.669,0.671,34.701,15.583,88.651,112.0
49.974,51.775,71.926,5.63,0.383,38.331,22.125,44.262,179.0
21.788,3.259,26.89,2.793,1.304,42.584,32.277,43.529,67.0
69.917,68.128,52.479,3.466,0.571,56.998,19.135,75.293,139.0
46.633,58.539,65.824,6.58,0.995,51.101,19.835,85.392,164.0
23.047,80.548,21.667,6.213,0.469,58.43,31.363,32.61,80.0
16.982,59.901,21.663,5.402,0.875,21.324,22.315,86.956,59.0
44.511,82.868,16.03,2.837,0.935,60.202,18.294,81.436,89.0
19.786,90.091,32.319,9.785,0.788,30.011,37.441,71.066,90.0
43.291,66.811,29.978,1.872,0.985,24.263,30.295,57.823,86.0
62.357,109.946,37.236,3.31,1.045,45.606,22.328,45.705,124.0
17.14,109.137,28.092,12.139,0.569,60.609,26.806,30.624,109.0
36.372,102.275,46.25,7.575,0.771,59.961,33.846,62.602,115.0
41.122,6.771,41.599,4.763,0.864,38.131,13.596,79.207,103.0
86.504,49.989,37.27,4.219,0.926,41.74,27.29,65.419,173.0
